eem_id,document,cat_lev1,cat_lev2,eem_name
1287,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace with higher efficiency pump
1288,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace with variable speed pump
1289,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install or upgrade master venting
1290,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Replace steam traps with orifice plates
1291,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Install steam condensate heat recovery
1292,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Clean and/or repair
1293,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Implement training and/or documentation
1294,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,"Upgrade operating protocols, calibration, and/or sequencing"
1295,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Other
1296,BSYNC,Chiller Plant Improvements,0,Add energy recovery
1297,BSYNC,Chiller Plant Improvements,0,Install VSD on electric centrifugal chillers
1298,BSYNC,Chiller Plant Improvements,0,Replace chiller
1299,BSYNC,Chiller Plant Improvements,0,Install gas cooling
1300,BSYNC,Chiller Plant Improvements,0,Add or repair economizer cycle
1301,BSYNC,Chiller Plant Improvements,0,Add or replace cooling tower
1302,BSYNC,Chiller Plant Improvements,0,Clean and/or repair
1303,BSYNC,Chiller Plant Improvements,0,Implement training and/or documentation
1304,BSYNC,Chiller Plant Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing"
1305,BSYNC,Chiller Plant Improvements,0,Other
1306,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Add elevator regenerative drives
1307,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Upgrade controls
1308,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Upgrade motors
1309,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Clean and/or repair
1310,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Implement training and/or documentation
1311,BSYNC,"Conveyance Systems (e.g., Elevators)",0,"Upgrade operating protocols, calibration, and/or sequencing"
1312,BSYNC,"Conveyance Systems (e.g., Elevators)",0,Other
1313,BSYNC,Data center energy conservation improvements,0,Improve data center efficiency
1314,BSYNC,Data center energy conservation improvements,0,Implement hot aisle hold aisle design
1315,BSYNC,Data center energy conservation improvements,0,Implement server virtualization
1316,BSYNC,Data center energy conservation improvements,0,Upgrade servers
1317,BSYNC,Data center energy conservation improvements,0,Clean and/or repair
1318,BSYNC,Data center energy conservation improvements,0,Implement training and/or documentation
1319,BSYNC,Data center energy conservation improvements,0,"Upgrade operating protocols, calibration, and/or sequencing"
1320,BSYNC,Data center energy conservation improvements,0,Other
1321,BSYNC,Distributed Generation,0,Install CHP/cogeneration systems
1322,BSYNC,Distributed Generation,0,Install fuel cells
1323,BSYNC,Distributed Generation,0,Install microturbines
1324,BSYNC,Distributed Generation,0,Convert fuels
1325,BSYNC,Distributed Generation,0,Clean and/or repair
1326,BSYNC,Distributed Generation,0,Implement training and/or documentation
1327,BSYNC,Distributed Generation,0,"Upgrade operating protocols, calibration, and/or sequencing"
1328,BSYNC,Distributed Generation,0,Other
1329,BSYNC,Electrical Peak Shaving/Load Shifting,0,Install thermal energy storage
1330,BSYNC,Electrical Peak Shaving/Load Shifting,0,Implement training and/or documentation
1331,BSYNC,Electrical Peak Shaving/Load Shifting,0,"Upgrade operating protocols, calibration, and/or sequencing"
1332,BSYNC,Electrical Peak Shaving/Load Shifting,0,Other
1333,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Change to more favorable rate schedule
1334,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Energy cost reduction through rate adjustments - uncategorized
1335,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Energy service billing and meter auditing recommendations
1336,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Change to lower energy cost supplier(s)
1337,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Other
1338,BSYNC,Energy/Utility Distribution Systems,0,Implement power factor corrections
1339,BSYNC,Energy/Utility Distribution Systems,0,Implement power quality upgrades
1340,BSYNC,Energy/Utility Distribution Systems,0,Upgrade transformers
1341,BSYNC,Energy/Utility Distribution Systems,0,Install gas distribution systems
1342,BSYNC,Energy/Utility Distribution Systems,0,Clean and/or repair
1343,BSYNC,Energy/Utility Distribution Systems,0,Implement training and/or documentation
1344,BSYNC,Energy/Utility Distribution Systems,0,"Upgrade operating protocols, calibration, and/or sequencing"
1345,BSYNC,Energy/Utility Distribution Systems,0,Other
1346,BSYNC,Energy Related Process Improvements,0,Implement industrial process improvements
1347,BSYNC,Energy Related Process Improvements,0,Implement production and/or manufacturing improvements
1348,BSYNC,Energy Related Process Improvements,0,Clean and/or repair
1349,BSYNC,Energy Related Process Improvements,0,Implement training and/or documentation
1350,BSYNC,Energy Related Process Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing"
1351,BSYNC,Energy Related Process Improvements,0,Other
1352,BSYNC,Future/Other ECMs,0,Other
1353,BSYNC,Lighting Improvements,0,Retrofit with CFLs
1354,BSYNC,Lighting Improvements,0,Retrofit with T-5
1355,BSYNC,Lighting Improvements,0,Retrofit with T-8
1356,BSYNC,Lighting Improvements,0,Install spectrally enhanced lighting
1357,BSYNC,Lighting Improvements,0,Retrofit with fiber optic lighting technologies
1358,BSYNC,Lighting Improvements,0,Retrofit with light emitting diode technologies
1359,BSYNC,Lighting Improvements,0,Add daylight controls
1360,BSYNC,Lighting Improvements,0,Add occupancy sensors
1361,BSYNC,Lighting Improvements,0,Install photocell control
1362,BSYNC,Lighting Improvements,0,Install timers
1363,BSYNC,Lighting Improvements,0,Replace diffusers
1364,BSYNC,Lighting Improvements,0,Upgrade exit signs to LED
1365,BSYNC,Lighting Improvements,0,Upgrade exterior lighting
1366,BSYNC,Lighting Improvements,0,Clean and/or repair
1367,BSYNC,Lighting Improvements,0,Implement training and/or documentation
1368,BSYNC,Lighting Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing"
1369,BSYNC,Lighting Improvements,0,Other
1370,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add drive controls
1371,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Replace with higher efficiency
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller
1373,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Clean and/or repair
1374,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Implement training and/or documentation
1375,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,"Upgrade operating protocols, calibration, and/or sequencing"
1376,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Other
1377,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace or modify AHU
1378,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Improve distribution fans
1379,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Improve ventilation fans
1380,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Convert CV system to VAV system
1381,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair leaks / seal ducts
1382,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add duct insulation
1383,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Balance ventilation/distribution system
1384,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair or replace HVAC damper and controller
1385,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace burner
1386,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace package units
1387,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace packaged terminal units
1388,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install passive solar heating
1389,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Replace AC and heating units with ground coupled heat pump systems
1390,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add enhanced dehumidification
1391,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install solar ventilation preheating system
1392,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add or repair economizer
1393,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add energy recovery
1394,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Add or replace cooling tower
1395,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install thermal destratification fans
1396,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install demand control ventilation
1397,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install gas cooling
1398,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install air source heat pump
1399,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install variable refrigerant flow system
1400,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Capture and return condensate
1401,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install or Upgrade Master Venting
1402,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Clean and/or repair
1403,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Implement training and/or documentation
1404,BSYNC,"Heating, Ventilating, and Air Conditioning",0,"Upgrade operating protocols, calibration, and/or sequencing"
1405,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other heating
1406,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other cooling
1407,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other ventilation
1408,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other distribution
1409,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other
1410,BSYNC,Appliance and plug-load reductions,0,Replace with ENERGY STAR rated
1411,BSYNC,Appliance and plug-load reductions,0,Install plug load controls
1412,BSYNC,Appliance and plug-load reductions,0,Automatic shutdown or sleep mode for computers
1413,BSYNC,Appliance and plug-load reductions,0,De-lamp vending machines
1414,BSYNC,Appliance and plug-load reductions,0,Replace clothes dryers
1415,BSYNC,Appliance and plug-load reductions,0,Replace washing machines
1416,BSYNC,Appliance and plug-load reductions,0,Clean and/or repair
1417,BSYNC,Appliance and plug-load reductions,0,Implement training and/or documentation
1418,BSYNC,Appliance and plug-load reductions,0,"Upgrade operating protocols, calibration, and/or sequencing"
1419,BSYNC,Appliance and plug-load reductions,0,Other
1420,BSYNC,Refrigeration,0,Replace ice/refrigeration equipment with high efficiency units
1421,BSYNC,Refrigeration,0,Replace air-cooled ice/refrigeration equipment
1422,BSYNC,Refrigeration,0,Replace refrigerators
1423,BSYNC,Refrigeration,0,Clean and/or repair
1424,BSYNC,Refrigeration,0,Implement training and/or documentation
1425,BSYNC,Refrigeration,0,"Upgrade operating protocols, calibration, and/or sequencing"
1426,BSYNC,Refrigeration,0,Other
1427,BSYNC,Renewable Energy Systems,0,"Install landfill gas, wastewater treatment plant digester gas, or coal bed methane power plant"
1428,BSYNC,Renewable Energy Systems,0,Install photovoltaic system
1429,BSYNC,Renewable Energy Systems,0,Install wind energy system
1430,BSYNC,Renewable Energy Systems,0,Install wood waste or other organic waste stream heating or power plant
1431,BSYNC,Renewable Energy Systems,0,Clean and/or repair
1432,BSYNC,Renewable Energy Systems,0,Implement training and/or documentation
1433,BSYNC,Renewable Energy Systems,0,"Upgrade operating protocols, calibration, and/or sequencing"
1434,BSYNC,Renewable Energy Systems,0,Other
1435,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Decrease SHW temperature
1436,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install SHW controls
1437,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install solar thermal SHW
1438,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install water pressure booster
1439,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Insulate SHW piping
1440,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Insulate SHW tank
1441,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Replace piping
1442,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Replace tankless coil
1443,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Separate SHW from heating
1444,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Upgrade SHW boiler
1445,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install heat pump SHW system
1446,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install tankless water heaters
1447,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Clean and/or repair
1448,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Implement training and/or documentation
1449,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,"Upgrade operating protocols, calibration, and/or sequencing"
1450,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Other
1451,BSYNC,Category heading for measures that don't fit into another category,0,Other
1452,BSYNC,Water and Sewer Conservation Systems,0,Install low-flow faucets and showerheads
1453,BSYNC,Water and Sewer Conservation Systems,0,Install low-flow plumbing equipment
1454,BSYNC,Water and Sewer Conservation Systems,0,Install onsite sewer treatment systems
1455,BSYNC,Water and Sewer Conservation Systems,0,Implement water efficient irrigation
1456,BSYNC,Water and Sewer Conservation Systems,0,Clean and/or repair
1457,BSYNC,Water and Sewer Conservation Systems,0,Implement training and/or documentation
1458,BSYNC,Water and Sewer Conservation Systems,0,"Upgrade operating protocols, calibration, and/or sequencing"
1459,BSYNC,Water and Sewer Conservation Systems,0,Other
