eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
287,1651RP,HVAC,System,Variable Speed Water Loop Heat Pumps,Pump,Descriptor,X0000,D3050,0
304,1651RP,HVAC,Ventilation,Hybrid/Mixed Mode Ventilation,NA,NA,NA,B2020,0
342,1651RP,Internal Load,Equipment,High performance motors,Motor,Descriptor,X0000,X0000,1
501,BEQ,HVAC System,0,"Where cooling is provided by multiple units, maintain proper sequencing to achieve maximum efficiency while meeting required load.",NA,NA,NA,D3060,0
537,BEQ,HVAC System,0,"In humid climates, supply air with a temperature above the dew point to prevent condensation on cold surfaces.",Supply,Descriptor,D3040,D3060,0
562,BEQ,HVAC System,0,Reduce operating hours of simultaneously heating and cooling systems.,NA,NA,NA,X0000,0
585,BEQ,Refrigeration,0,Install high specific-efficiency (Btu/W) condensers. E,Condenser,Element,D3030,E1090,0
590,BEQ,Refrigeration,0,Calibrate pressure transducers to optimize suction pressure.,NA,NA,NA,E1090,0
633,BEQ,Energy Generation,0,Reduce overpumping on chilled-water systems.,Chilled water,Descriptor,X0000,D3040,0
683,BEQ,Other EEMs,0,"Reduce demand charges through load shedding, operational changes, and procedural changes.",NA,NA,NA,D5010,0
698,STD100,BUILDING ENVELOPE,Walls,Consider converting internal courtyard into an atrium to reduce external wall surface.,NA,NA,NA,B2010,0
781,STD100,HVAC SYSTEMS,Building Automation and Control Systems,Adjust housekeeping schedule to minimize HVAC use.,NA,NA,NA,X0000,0
797,STD100,REFRIGERATION,Reduce Loads,Replace lights with LED strip lights with motion sensors in refrigerated cases and spaces.,LED,Descriptor,D5020,E1090,0
797,STD100,REFRIGERATION,Reduce Loads,Replace lights with LED strip lights with motion sensors in refrigerated cases and spaces.,motion,Descriptor,D5020,E1090,0
797,STD100,REFRIGERATION,Reduce Loads,Replace lights with LED strip lights with motion sensors in refrigerated cases and spaces.,Refrigerated case,Element,E1090,E1090,1
808,STD100,REFRIGERATION,Improve System Operating Efficiency,Install mechanical subcooling,NA,NA,NA,E1090,0
823,STD100,WATER SYSTEMS,Domestic Hot-Water Systems,"Install gray water heat recovery from showers, dishwashers, and washing machines.",Heat recovery,Descriptor,X0000,D2020,0
823,STD100,WATER SYSTEMS,Domestic Hot-Water Systems,"Install gray water heat recovery from showers, dishwashers, and washing machines.",Shower,Element,D2010,D2020,0
823,STD100,WATER SYSTEMS,Domestic Hot-Water Systems,"Install gray water heat recovery from showers, dishwashers, and washing machines.",washing machine,Element,E1090,D2020,0
897,STD100,NONRESIDENTIAL LIGHTING,Lighting Controls,"Reduce operating hours for lighting systems through the use of controls and building management systems. This includes the use of shut-off controls, such as time switches.",controls,Element,D3060,D5020,0
923,STD100,RESIDENTIAL LIGHTING,Interior,"Install vacancy sensors to automatically turn off lighting in closets, storage, work rooms, garages, and exterior buildings when the space has been vacated for 15 minutes.",vacancy,Descriptor,D5020,D5020,1
932,STD100,APPLIANCES,0,"Install appliances (clothes washers, dehumidifiers, dishwashers, freezers, refrigerators, room air cleaners and purifiers, office equipment, and televisions) that are certified as ENERGY STAR compliant.",Clothes washer,Element,E1090,E10,0
932,STD100,APPLIANCES,0,"Install appliances (clothes washers, dehumidifiers, dishwashers, freezers, refrigerators, room air cleaners and purifiers, office equipment, and televisions) that are certified as ENERGY STAR compliant.",Refrigerator,Element,E1090,E10,0
932,STD100,APPLIANCES,0,"Install appliances (clothes washers, dehumidifiers, dishwashers, freezers, refrigerators, room air cleaners and purifiers, office equipment, and televisions) that are certified as ENERGY STAR compliant.",Equipment,Element,E10,E10,1
932,STD100,APPLIANCES,0,"Install appliances (clothes washers, dehumidifiers, dishwashers, freezers, refrigerators, room air cleaners and purifiers, office equipment, and televisions) that are certified as ENERGY STAR compliant.",ENERGY STAR,Descriptor,X0000,E10,0
967,BCL,Electric Lighting,Electric Lighting Controls,Change Lighting Schedule by Space Type,NA,NA,NA,D5020,0
977,BCL,Electric Lighting,Electric Lighting Controls,Radiance Daylighting Measure,NA,NA,NA,X0000,0
1013,BCL,Envelope,Form,Merge FloorspaceJs with Model,Floor,Element,B1010,X0000,0
1045,BCL,Envelope,Opaque,Set Exterior Walls and Floors to Adiabatic,Exterior Wall,Element,B2010,B2010,1
1045,BCL,Envelope,Opaque,Set Exterior Walls and Floors to Adiabatic,Floor,Element,B1010,B2010,0
1047,BCL,Envelope,Opaque,Increase R-value of Insulation for Exterior Walls to a Specific Value,Insulation,Descriptor,X0000,B2010,0
1047,BCL,Envelope,Opaque,Increase R-value of Insulation for Exterior Walls to a Specific Value,Exterior Wall,Element,B2010,B2010,1
1049,BCL,Envelope,Opaque,SetExtWallToGroundBoundaryConditionByStory,NA,NA,NA,B2010,0
1065,BCL,Equipment,Equipment Controls,Reduce Night Time Electric Equipment Loads,Equipment,Element,E10,E10,1
1071,BCL,Equipment,Electric Equipment,Set Electric Equipment loads by EPD,Equipment,Element,E10,E10,1
1093,BCL,HVAC,Distribution,Change Overhead Ventilation to Displacement Ventilation,NA,NA,NA,D3040,0
1118,BCL,HVAC,Cooling,Set Air-Cooled Unitary Heat Pump COP,air cooled,Descriptor,D3030,D3050,0
1118,BCL,HVAC,Cooling,Set Air-Cooled Unitary Heat Pump COP,Heat pump,Descriptor,X0000,D3050,0
1118,BCL,HVAC,Cooling,Set Air-Cooled Unitary Heat Pump COP,Pump,Descriptor,X0000,D3050,0
1125,BCL,HVAC,Cooling,Set COP for Single Speed DX Cooling Units,NA,NA,NA,D3030,0
1136,BCL,HVAC,Whole System,GSHP with DOAS (More Design Parameters),NA,NA,NA,D3040,0
1142,BCL,HVAC,Whole System,Ideal Loads Options,NA,NA,NA,X0000,0
1148,BCL,HVAC,Whole System,AedgOfficeHvacAshpDoas,NA,NA,NA,D3040,0
1161,BCL,HVAC,Whole System,EnableIdealAirLoadsForAllZones,NA,NA,NA,X0000,0
1262,BSYNC,Building Envelope Modifications,0,Insulate thermal bypasses,NA,NA,NA,B,0
1266,BSYNC,Building Envelope Modifications,0,Add attic/knee wall insulation,Insulation,Descriptor,X0000,C1010,0
1284,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Add energy recovery,Energy recovery,Descriptor,X0000,D3040,0
1286,BSYNC,"Chilled Water, Hot Water, and Steam Distribution Systems",0,Separate SHW from heating,SHW,Element,D2020,D2020,1
1302,BSYNC,Chiller Plant Improvements,0,Clean and/or repair,NA,NA,NA,D3030,0
1303,BSYNC,Chiller Plant Improvements,0,Implement training and/or documentation,NA,NA,NA,D3030,0
1304,BSYNC,Chiller Plant Improvements,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D3030,0
1311,BSYNC,"Conveyance Systems (e.g., Elevators)",0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,D1010,0
1315,BSYNC,Data center energy conservation improvements,0,Implement server virtualization,Server,Element,E1010,E1010,1
1316,BSYNC,Data center energy conservation improvements,0,Upgrade servers,Server,Element,E1010,E1010,1
1334,BSYNC,Energy Cost Reduction Through Rate Adjustments,0,Energy cost reduction through rate adjustments - uncategorized,NA,NA,NA,D5010,0
1342,BSYNC,Energy/Utility Distribution Systems,0,Clean and/or repair,NA,NA,NA,D3010,0
1362,BSYNC,Lighting Improvements,0,Install timers,NA,NA,NA,D5020,0
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller,VSD,Descriptor,X0000,X0000,1
1372,BSYNC,Electric Motors and Drives Other than Those for Conveyance Systems,0,Add VSD motor controller,Motor,Descriptor,X0000,X0000,1
1384,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Repair or replace HVAC damper and controller,Damper,Element,D3040,D3040,1
1437,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install solar thermal SHW,Solar thermal,Descriptor,D3010,D2020,0
1437,BSYNC,Service hot water (SHW) and domestic hot water (DHW) systems,0,Install solar thermal SHW,SHW,Element,D2020,D2020,1
1452,BSYNC,Water and Sewer Conservation Systems,0,Install low-flow faucets and showerheads,Low flow,Descriptor,D2010,D2010,1
1452,BSYNC,Water and Sewer Conservation Systems,0,Install low-flow faucets and showerheads,faucet,Element,D2010,D2010,1
1452,BSYNC,Water and Sewer Conservation Systems,0,Install low-flow faucets and showerheads,showerhead,Element,D2010,D2010,1
1494,CBES,HVAC - Economizer,0,Economizer Maintenance,Economizer,Element,D3040,D3040,1
1531,CBES,HVAC - Whole System,0,"Upgrade toVRF System, Single Story (11 EER, 3.3 COP)",NA,NA,NA,D3040,0
1533,CBES,HVAC - Whole System,0,"Upgrade to VRF System, Single Story (9.5 EER, 3.2 COP)",VRF,Descriptor,D3040,D3040,1
1553,CBES,Refrigeration Case,0,High Refrigerant Charge Adjustment (>= 20% rated charge),Refrigerant,Descriptor,X0000,E1090,0
1558,CBES,Service Hot Water,0,Efficiency Upgrade to Electric Instantaneous Water Heater (0.95),instantaneous,Descriptor,D2020,D2020,1
1558,CBES,Service Hot Water,0,Efficiency Upgrade to Electric Instantaneous Water Heater (0.95),Water heater,Element,D2020,D2020,1
1563,DOTY,ENVELOPE,0,Exterior Color,NA,NA,NA,B2010,0
1564,DOTY,ENVELOPE,0,Cool Roof,Cool roof,Descriptor,B3010,B3010,1
1564,DOTY,ENVELOPE,0,Cool Roof,Roof,Element,B3010,B3010,1
1575,DOTY,LIGHTING,0,LED Lighting - Emerging Technology,LED,Descriptor,D5020,D5020,1
1611,DOTY,BOILERS AND DISTRICT HEATING,0,Lower Steam Pressure,Steam,Descriptor,X0000,D3020,0
1648,ATT,Boiler Plant Improvements,0,Convert gas-fired unit to boiler loop,Boiler,Element,D3020,D3020,1
1651,ATT,Boiler Plant Improvements,0,Decentralize boiler,Boiler,Element,D3020,D3020,1
1663,ATT,Building Envelope Modifications,0,Close elevator and/or stairwell shaft vents,Elevator,Element,D1010,B,0
1696,ATT,Chiller Plant Improvements,0,Add or replace cooling tower,Cooling tower,Element,D3030,D3030,1
1719,ATT,Data-Center Improvements,0,Implement server virtualization,Server,Element,E1010,E1010,1
1735,ATT,Electric Motors and Drives,0,Clean and/or repair,NA,NA,NA,X0000,0
1737,ATT,Electric Motors and Drives,0,Other,NA,NA,NA,X0000,0
1738,ATT,Electric Motors and Drives,0,Replace with higher efficiency,NA,NA,NA,X0000,0
1750,ATT,Energy Related Process Improvements,0,Implement industrial process improvements,NA,NA,NA,X0000,0
1755,ATT,Energy/Utility Distribution Systems,0,Clean and/or repair,NA,NA,NA,D3010,0
1758,ATT,Energy/Utility Distribution Systems,0,Implement training and/or documentation,NA,NA,NA,D3010,0
1768,ATT,Heating; Ventilating and Air Conditioning,0,Convert CV system to VAV system,VAV,Descriptor,D3040,D3040,1
1784,ATT,Heating; Ventilating and Air Conditioning,0,Replace or modify AHU,AHU,Element,D3040,D3040,1
1787,ATT,Heating; Ventilating and Air Conditioning,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,X0000,0
1794,ATT,Lighting Improvements,0,Install timers,NA,NA,NA,D5020,0
1796,ATT,Lighting Improvements,0,Replace diffusers,Diffuser,Descriptor,X0000,D5020,0
1823,ATT,Service Hot Water System,0,Implement training and/or documentation,NA,NA,NA,D2020,0
1870,IEA46,Building Envelope,Windows,"Replace existing fenestration (toplighting and/or sidelighting) with dual-glazed ""low-e"" glass wherever possible to reduce thermal gain.",Low e,Descriptor,X0000,B2020,0
1879,IEA46,Building Envelope,Doors,Seal top and bottom of building.,NA,NA,NA,B2030,0
1895,IEA46,HVAC Systems,HVAC distribution systems,Reset VAV system supply-air temperature set point when system is at minimum speed to provide adequate ventilation.,Reset,Descriptor,D3060,D3060,1
1895,IEA46,HVAC Systems,HVAC distribution systems,Reset VAV system supply-air temperature set point when system is at minimum speed to provide adequate ventilation.,VAV,Descriptor,D3040,D3060,0
1895,IEA46,HVAC Systems,HVAC distribution systems,Reset VAV system supply-air temperature set point when system is at minimum speed to provide adequate ventilation.,Supply,Descriptor,D3040,D3060,0
1895,IEA46,HVAC Systems,HVAC distribution systems,Reset VAV system supply-air temperature set point when system is at minimum speed to provide adequate ventilation.,Supply air temperature,Descriptor,D3060,D3060,1
1896,IEA46,HVAC Systems,HVAC distribution systems,"If conversion to VAV is impractical for CAV systems, reset supply-air temperatures in response to load. Dynamically control heating duct temperatures as low as possible, and cooling duct temperatures as high as possible, while meeting the load.",VAV,Descriptor,D3040,D3060,0
1896,IEA46,HVAC Systems,HVAC distribution systems,"If conversion to VAV is impractical for CAV systems, reset supply-air temperatures in response to load. Dynamically control heating duct temperatures as low as possible, and cooling duct temperatures as high as possible, while meeting the load.",Reset,Descriptor,D3060,D3060,1
1896,IEA46,HVAC Systems,HVAC distribution systems,"If conversion to VAV is impractical for CAV systems, reset supply-air temperatures in response to load. Dynamically control heating duct temperatures as low as possible, and cooling duct temperatures as high as possible, while meeting the load.",Supply,Descriptor,D3040,D3060,0
1896,IEA46,HVAC Systems,HVAC distribution systems,"If conversion to VAV is impractical for CAV systems, reset supply-air temperatures in response to load. Dynamically control heating duct temperatures as low as possible, and cooling duct temperatures as high as possible, while meeting the load.",Supply air temperature,Descriptor,D3060,D3060,1
1896,IEA46,HVAC Systems,HVAC distribution systems,"If conversion to VAV is impractical for CAV systems, reset supply-air temperatures in response to load. Dynamically control heating duct temperatures as low as possible, and cooling duct temperatures as high as possible, while meeting the load.",Duct,Element,D3040,D3060,0
1897,IEA46,HVAC Systems,HVAC distribution systems,Use high-efficiency fans and pumps; replace or trim impellers of existing fans and pumps if they have excessive capacity relative to peak demand.,Fan,Element,D3040,D3040,1
1897,IEA46,HVAC Systems,HVAC distribution systems,Use high-efficiency fans and pumps; replace or trim impellers of existing fans and pumps if they have excessive capacity relative to peak demand.,Pump,Descriptor,X0000,D3040,0
1929,IEA46,HVAC Systems,HVAC distribution systems,"In reheat systems, making adjustments as necessary to minimize reheat energy consumption while maintaining indoor environmental quality.",NA,NA,NA,D3040,0
1956,IEA46,Refrigeration,Reduce loads,Install low/no ASH refrigerated case doors.,Refrigerated case,Element,E1090,E1090,1
2003,IEA46,Energy Generation and Distribution,Boiler system,Install condensing economizers.,Economizer,Element,D3040,D3020,0
2014,IEA46,Energy Generation and Distribution,Boiler system,"Preheat combustion air, feed water, or fuel oil with reclaimed waste heat from boiler blowdown and/or flue gases.",Boiler,Element,D3020,D3020,1
2039,IEA46,Energy Generation and Distribution,Chiller system,Isolate offline chillers and cooling towers.,Chiller,Element,D3030,D3030,1
2039,IEA46,Energy Generation and Distribution,Chiller system,Isolate offline chillers and cooling towers.,Cooling tower,Element,D3030,D3030,1
2053,IEA46,Energy Generation and Distribution,Chiller system,Optimize plant controls to raise evaporator temperature as high as possible while meeting loads of the system. Also optimize condenser water temperature control to achieve best combination of chiller and tower efficiency.,controls,Element,D3060,D3060,1
2053,IEA46,Energy Generation and Distribution,Chiller system,Optimize plant controls to raise evaporator temperature as high as possible while meeting loads of the system. Also optimize condenser water temperature control to achieve best combination of chiller and tower efficiency.,Condenser,Element,D3030,D3060,0
2053,IEA46,Energy Generation and Distribution,Chiller system,Optimize plant controls to raise evaporator temperature as high as possible while meeting loads of the system. Also optimize condenser water temperature control to achieve best combination of chiller and tower efficiency.,Chiller,Element,D3030,D3060,0
2113,IEA46,Residential Lighting,Interior,Evaluate adding daylight sensing controls for general illumination lighting in rooms with windows or skylights. Use in combination with dimming systems so the electric light level can be adjusted based on the amount of daylight available,controls,Element,D3060,D5020,0
2113,IEA46,Residential Lighting,Interior,Evaluate adding daylight sensing controls for general illumination lighting in rooms with windows or skylights. Use in combination with dimming systems so the electric light level can be adjusted based on the amount of daylight available,Wind,Descriptor,D3010,D5020,0
2113,IEA46,Residential Lighting,Interior,Evaluate adding daylight sensing controls for general illumination lighting in rooms with windows or skylights. Use in combination with dimming systems so the electric light level can be adjusted based on the amount of daylight available,Skylight,Element,B3020,D5020,0
2113,IEA46,Residential Lighting,Interior,Evaluate adding daylight sensing controls for general illumination lighting in rooms with windows or skylights. Use in combination with dimming systems so the electric light level can be adjusted based on the amount of daylight available,BAS,Element,D3060,D5020,0
2121,IEA46,"Electric Systems, Motors",0,"Replace existing 3-phase, 1 HP and greater electric motors with premium efficiency motors (often a better choice than rewinding motors).",Motor,Descriptor,X0000,X0000,1
2146,IEA46,Process Systems,General process improvement,Optimize overtime by analyzing the causes and correcting them.,NA,NA,NA,X0000,0
2150,IEA46,Process Systems,General process improvement,Improve working conditions to improve productivity by increasing building ventilation.,NA,NA,NA,D3060,0
2165,IEA46,Process Systems,Painting,"Use ultrafiltration/reverse osmosis (UF/RO) for wastewater cleaning. When the water-based paint is used, processing equipment must be regularly cleaned with water. A typical painting operation requires significant amount of water to clean, all of it must be disposed of as hazardous waste. Reducing this hazardous waste therefore reduces transportation and incineration energy associated with its removal. A combined UF/RO process cleans wastewater to the point where it is again suitable for cleaning purpose. The UF/RO can recover 95% of the waste water.",BAS,Element,D3060,X0000,0
2165,IEA46,Process Systems,Painting,"Use ultrafiltration/reverse osmosis (UF/RO) for wastewater cleaning. When the water-based paint is used, processing equipment must be regularly cleaned with water. A typical painting operation requires significant amount of water to clean, all of it must be disposed of as hazardous waste. Reducing this hazardous waste therefore reduces transportation and incineration energy associated with its removal. A combined UF/RO process cleans wastewater to the point where it is again suitable for cleaning purpose. The UF/RO can recover 95% of the waste water.",Equipment,Element,E10,X0000,0
2184,IEA46,Process Systems,Welding,Select shielding gas with reduced fume generation for the GMAW and Flux Cored Arc Welding (FCAW) processes. Argon-based shielding gases with the lowest percentages of oxygen or carbon dioxide will minimize fume for both GMAW and FCAW. The fume generation rate can be cut almost in half by changing from 100% CO2 shielding gas to a mixture of Argon with 25% CO2 shielding gas. A further reduction in fume generation rate can be achieved by use of a shielding gas containing Argon with only 5% CO2 along with the appropriate electrode,Argon,Descriptor,X0000,X0000,1
2184,IEA46,Process Systems,Welding,Select shielding gas with reduced fume generation for the GMAW and Flux Cored Arc Welding (FCAW) processes. Argon-based shielding gases with the lowest percentages of oxygen or carbon dioxide will minimize fume for both GMAW and FCAW. The fume generation rate can be cut almost in half by changing from 100% CO2 shielding gas to a mixture of Argon with 25% CO2 shielding gas. A further reduction in fume generation rate can be achieved by use of a shielding gas containing Argon with only 5% CO2 along with the appropriate electrode,BAS,Element,D3060,X0000,0
2187,IEA46,Process Systems,Welding,"Avoid short-time conditions with spot welding, changing over to medium-time conditions.",NA,NA,NA,X0000,0
2196,IEA46,Process Systems,Welding,Use dock seals for truck docks.,NA,NA,NA,D2030,0
2211,IEA46,Process Systems,Catering facilities,Install electronically commutated motor for walk-in cooler and freezer evaporator fan.,Electronic,Descriptor,D5020,E1090,0
2211,IEA46,Process Systems,Catering facilities,Install electronically commutated motor for walk-in cooler and freezer evaporator fan.,electronically commutated motor,Descriptor,X0000,E1090,0
2211,IEA46,Process Systems,Catering facilities,Install electronically commutated motor for walk-in cooler and freezer evaporator fan.,Motor,Descriptor,X0000,E1090,0
2211,IEA46,Process Systems,Catering facilities,Install electronically commutated motor for walk-in cooler and freezer evaporator fan.,Fan,Element,D3040,E1090,0
2212,IEA46,Process Systems,Catering facilities,Use Energy Star rated deep fat fryer.,ENERGY STAR,Descriptor,X0000,E1090,0
2253,IEA46,Process Systems,Process control,Replace air filters regularly.,Filter,Descriptor,D3040,X0000,0
2262,IEA46,Process Systems,Process control,Upgrade inefficient chillers.,Chiller,Element,D3030,D3030,1
2307,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Hot Water,Low Flow Showerheads,Low flow,Descriptor,D2010,D2010,1
2307,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Hot Water,Low Flow Showerheads,showerhead,Element,D2010,D2010,1
2325,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,HVAC End Use,High Efficiency Furnace,Furnace,Element,D3050,D3050,1
2365,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Lighting End Use,Lighting Power Density,NA,NA,NA,D5020,0
2390,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Compressed Air,Efficient Refrigerated Compressed Air Dryer,NA,NA,NA,X0000,0
2392,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Compressed Air,Efficient Desiccant Compressed Air Dryer,NA,NA,NA,X0000,0
2400,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Miscellaneous End Use,High Efficiency Transformer,Transformer,Element,D5010,D5010,1
2408,ILTRM,COMMERCIAL AND INDUSTRIAL MEASURES,Miscellaneous End Use,Commercial Weather Stripping,NA,NA,NA,X0000,0
2425,ILTRM,RESIDENTIAL MEASURES,HVAC End Use,Central Air Conditioning,NA,NA,NA,D3050,0
2437,ILTRM,RESIDENTIAL MEASURES,HVAC End Use,ENERGY STAR Ceiling Fan,ENERGY STAR,Descriptor,X0000,E2010,0
2437,ILTRM,RESIDENTIAL MEASURES,HVAC End Use,ENERGY STAR Ceiling Fan,ceiling,Element,C3030,E2010,0
2437,ILTRM,RESIDENTIAL MEASURES,HVAC End Use,ENERGY STAR Ceiling Fan,Ceiling fan,Element,E2010,E2010,1
2437,ILTRM,RESIDENTIAL MEASURES,HVAC End Use,ENERGY STAR Ceiling Fan,Fan,Element,D3040,E2010,0
2451,ILTRM,RESIDENTIAL MEASURES,Lighting End Use,LED Specialty Lamps,LED,Descriptor,D5020,D5020,1
2451,ILTRM,RESIDENTIAL MEASURES,Lighting End Use,LED Specialty Lamps,Lamp,Element,D5020,D5020,1
2470,IEA11,ENVELOPE,0,Close convective paths in shafts and stairwells,NA,NA,NA,B,0
2511,IEA11,REGULATION,0,"Special considerations, roof top air conditioning units",Roof,Element,B3010,D3050,0
2516,IEA11,REGULATION,0,Minimise stratification in heating season,NA,NA,NA,X0000,0
2545,IEA11,HEATING,0,Reduce number of on-line boilers as load reduces.,Boiler,Element,D3020,D3020,1
2547,IEA11,HEATING,0,Reduce blowdown losses.,NA,NA,NA,D3020,0
2567,IEA11,HEATING,0,Use of exhaust air as heat source for heat pumps.,Exhaust,Descriptor,D3040,D3050,0
2567,IEA11,HEATING,0,Use of exhaust air as heat source for heat pumps.,Heat pump,Descriptor,X0000,D3050,0
2567,IEA11,HEATING,0,Use of exhaust air as heat source for heat pumps.,Pump,Descriptor,X0000,D3050,0
2592,IEA11,COOLING,0,Heat recovery of condenser heat.,Heat recovery,Descriptor,X0000,D3030,0
2592,IEA11,COOLING,0,Heat recovery of condenser heat.,Condenser,Element,D3030,D3030,1
2599,IEA11,COOLING,0,Minimise adverse external influences on cooling tower and air cooled condenser,Cooling tower,Element,D3030,D3030,1
2599,IEA11,COOLING,0,Minimise adverse external influences on cooling tower and air cooled condenser,air cooled,Descriptor,D3030,D3030,1
2599,IEA11,COOLING,0,Minimise adverse external influences on cooling tower and air cooled condenser,Condenser,Element,D3030,D3030,1
2648,IEA11,SERVICE HOT WATER,0,Install pressure reducing valves.,NA,NA,NA,D2020,0
2649,IEA11,SERVICE HOT WATER,0,lnstall trace heating on dead legs,NA,NA,NA,D2020,0
2664,IEA11,LIGHTING,0,"Clean interior wall surfaces, repaint with lighter colors",Interior wall,Element,C1010,C1010,1
2688,IEA11,MISCELLANEOUS,0,Reduce condensing temperatures.,Condensing temperature,Descriptor,D3060,D3060,1
2728,REMDB,Ceilings/Roofs,Unfinished Attic,Insulate Ceiling with Closed Cell Spray Foam,ceiling,Element,C3030,C3030,1
2756,REMDB,Lighting,Flood Light,Replace Flood Light,NA,NA,NA,D5020,0
2773,REMDB,Space Conditioning,Central Air Conditioner,Install Central Air Conditioner,NA,NA,NA,D3050,0
2785,REMDB,Space Conditioning,Ducts,Install Uninsulated Ducts,Duct,Element,D3040,D3040,1
2787,REMDB,Space Conditioning,Ducts,Seal and Insulate Ducts (Total Leakage),Duct,Element,D3040,D3040,1
2795,REMDB,Space Conditioning,Ground Source Heat Pump,Remove Heat Pump,Heat pump,Descriptor,X0000,D3050,0
2795,REMDB,Space Conditioning,Ground Source Heat Pump,Remove Heat Pump,Pump,Descriptor,X0000,D3050,0
2882,NYTRM,COMMERCIAL AND INDUSTRIAL MEASURES,APPLIANCE,COMBINATION OVEN,NA,NA,NA,E1090,0
2922,NYTRM,COMMERCIAL AND INDUSTRIAL MEASURES,"HEATING, VENTILATION AND AIR CONDITIONING (HVAC) - CONTROL",ENERGY MANAGEMENT SYSTEM (EMS) - GUEST ROOM,Energy management system,Element,D3060,D3060,1
2922,NYTRM,COMMERCIAL AND INDUSTRIAL MEASURES,"HEATING, VENTILATION AND AIR CONDITIONING (HVAC) - CONTROL",ENERGY MANAGEMENT SYSTEM (EMS) - GUEST ROOM,EMS,Element,D3060,D3060,1
